Experiment,Date,Ping_Target,Tracked_Interface,Fail_Start_Time,Fail_End_Time,Failover_Duration_sec,Ping_Loss_Duration_sec,Total_Pings,Successful_Pings,Lost_Pings,Packet_Loss_Percent,Avg_Latency_ms,Min_Latency_ms,Max_Latency_ms,CPU_Before,CPU_After,Jitter_ms,Median_Latency_ms,Latency_95th_ms,Latency_99th_ms
91,2025-12-12 14:39:08,1.1.1.1,GigabitEthernet0/0,2.256,5.293,3.036,3.036,122,119,3,2.459016393442623,8.253069484935088,4.826545715332031,36.89265251159668,2.0,14.0,4.461,7.209,12.295,23.484
92,2025-12-12 14:39:31,1.1.1.1,GigabitEthernet0/0,2.455,6.504,4.0494,4.0494,132,128,4,3.0303030303030303,8.18239152431488,4.692554473876953,23.889541625976562,2.0,11.0,3.038,7.515,12.748,17.596
93,2025-12-12 14:39:56,1.1.1.1,GigabitEthernet0/0,2.258,5.294,3.0355,3.0355,129,126,3,2.3255813953488373,7.252486925276499,4.189968109130859,11.886835098266602,2.0,15.0,1.351,7.074,9.392,10.943
94,2025-12-12 14:40:20,1.1.1.1,GigabitEthernet0/0,2.311,6.358,4.0469,4.0469,134,130,4,2.9850746268656714,7.050670110262358,4.009723663330078,17.63606071472168,2.0,10.0,1.745,6.716,9.849,11.455
95,2025-12-12 14:40:45,1.1.1.1,GigabitEthernet0/0,2.256,6.305,4.0494,4.0494,130,126,4,3.076923076923077,7.2203874588012695,4.530668258666992,12.130498886108398,1.0,8.0,1.465,7.086,9.627,11.293
96,2025-12-12 14:41:09,1.1.1.1,GigabitEthernet0/0,2.327,5.363,3.0367,3.0367,131,128,3,2.2900763358778624,7.442886009812355,4.504680633544922,16.432762145996094,2.0,13.0,1.766,7.402,10.116,11.694
97,2025-12-12 14:41:33,1.1.1.1,GigabitEthernet0/0,2.234,5.271,3.0372,3.0372,125,122,3,2.4,7.626494423287814,4.378795623779297,22.489309310913086,3.0,6.0,3.116,6.985,9.701,20.661
98,2025-12-12 14:41:57,1.1.1.1,GigabitEthernet0/0,2.233,6.282,4.0496,4.0496,127,123,4,3.149606299212598,7.486698104114067,4.376649856567383,23.613691329956055,2.0,13.0,2.544,7.07,9.698,15.252
99,2025-12-12 14:42:21,1.1.1.1,GigabitEthernet0/0,2.304,5.341,3.0366,3.0366,133,130,3,2.2556390977443606,6.967766468341534,4.466772079467773,13.553142547607422,3.0,15.0,1.286,6.871,8.67,10.957
100,2025-12-12 14:42:45,1.1.1.1,GigabitEthernet0/0,2.308,6.373,4.065,4.065,129,125,4,3.10077519379845,7.683204650878906,4.319906234741211,22.53127098083496,1.0,16.0,2.913,6.992,10.927,20.406
101,2025-12-12 14:43:10,1.1.1.1,GigabitEthernet0/0,2.263,6.312,4.0492,4.0492,125,121,4,3.2,7.942865702731551,4.627704620361328,16.92676544189453,4.0,10.0,1.951,7.578,10.784,14.484
102,2025-12-12 14:43:35,1.1.1.1,GigabitEthernet0/0,2.239,6.288,4.0489,4.0489,122,118,4,3.278688524590164,8.193100913096282,4.357099533081055,29.227495193481445,1.0,8.0,4.063,7.022,18.089,22.552
103,2025-12-12 14:43:59,1.1.1.1,GigabitEthernet0/0,2.253,6.302,4.049,4.049,130,126,4,3.076923076923077,7.212969991895887,4.400491714477539,26.19194984436035,3.0,8.0,2.514,6.655,10.758,14.076
104,2025-12-12 14:44:24,1.1.1.1,GigabitEthernet0/0,2.217,6.265,4.0481,4.0481,128,124,4,3.125,7.205330556438815,4.36854362487793,14.54019546508789,2.0,13.0,1.762,6.916,10.329,12.723
105,2025-12-12 14:44:48,1.1.1.1,GigabitEthernet0/0,2.262,5.299,3.037,3.037,135,132,3,2.2222222222222223,6.481680003079501,4.204750061035156,12.717485427856445,3.0,15.0,1.149,6.35,8.192,9.03
106,2025-12-12 14:45:12,1.1.1.1,GigabitEthernet0/0,2.272,5.309,3.0369,3.0369,129,126,3,2.3255813953488373,7.349684124901181,4.913806915283203,17.713546752929688,5.0,8.0,1.89,6.94,10.437,12.444
107,2025-12-12 14:45:36,1.1.1.1,GigabitEthernet0/0,2.239,6.288,4.0485,4.0485,129,125,4,3.10077519379845,7.269657135009766,5.113840103149414,13.961315155029297,2.0,12.0,1.406,7.001,9.799,11.404
108,2025-12-12 14:46:00,1.1.1.1,GigabitEthernet0/0,2.318,6.368,4.0498,4.0498,134,130,4,2.9850746268656714,7.1632807071392355,4.580974578857422,11.637449264526367,2.0,8.0,1.291,7.108,9.178,10.533
109,2025-12-12 14:46:25,1.1.1.1,GigabitEthernet0/0,2.233,5.269,3.0364,3.0364,124,121,3,2.4193548387096775,7.712017406116832,4.16111946105957,18.097639083862305,2.0,11.0,2.287,7.164,11.546,15.902
110,2025-12-12 14:46:49,1.1.1.1,GigabitEthernet0/0,2.278,6.326,4.0478,4.0478,131,127,4,3.0534351145038165,7.252467898871955,4.559993743896484,12.37034797668457,6.0,10.0,1.346,7.143,10.161,10.849
111,2025-12-12 14:47:13,1.1.1.1,GigabitEthernet0/0,2.215,6.265,4.0501,4.0501,127,123,4,3.149606299212598,7.378405671778733,3.584146499633789,24.30438995361328,2.0,9.0,3.286,6.643,9.357,22.026
112,2025-12-12 14:47:38,1.1.1.1,GigabitEthernet0/0,2.276,6.326,4.05,4.05,131,127,4,3.0534351145038165,7.158668022456132,4.953861236572266,16.94774627685547,2.0,11.0,1.537,6.851,9.4,11.464
113,2025-12-12 14:48:03,1.1.1.1,GigabitEthernet0/0,2.285,5.322,3.0372,3.0372,126,123,3,2.380952380952381,7.78744860393245,4.4460296630859375,24.541139602661133,3.0,12.0,3.867,6.936,10.891,22.643
